게이트.라인,호로스코프 도수,괘/효 기호
44.5,전갈 13° 07' ~ 14° 03',䷫ .5
44.6,전갈 14° 03' ~ 15° 00',䷫ .6
1.1,전갈 15° 00' ~ 15° 56',䷀ .1
1.2,전갈 15° 56' ~ 16° 52',䷀ .2
1.3,전갈 16° 52' ~ 17° 48',䷀ .3
1.4,전갈 17° 48' ~ 18° 45',䷀ .4
1.5,전갈 18° 45' ~ 19° 41',䷀ .5
1.6,전갈 19° 41' ~ 20° 37',䷀ .6
43.1,전갈 20° 37' ~ 21° 33',䷪ .1
43.2,전갈 21° 33' ~ 22° 30',䷪ .2
43.3,전갈 22° 30' ~ 23° 26',䷪ .3
43.4,전갈 23° 26' ~ 24° 22',䷪ .4
43.5,전갈 24° 22' ~ 25° 18',䷪ .5
43.6,전갈 25° 18' ~ 26° 15',䷪ .6
14.1,전갈 26° 15' ~ 27° 11',䷍ .1
14.2,전갈 27° 11' ~ 28° 07',䷍ .2
14.3,전갈 28° 07' ~ 29° 03',䷍ .3
14.4,전갈 29° 03' ~ 30° 00',䷍ .4
14.5,사수 00° 00' ~ 00° 56',䷍ .5
14.6,사수 00° 56' ~ 01° 52',䷍ .6
34.1,사수 01° 52' ~ 02° 48',䷡ .1
34.2,사수 02° 48' ~ 03° 45',䷡ .2
34.3,사수 03° 45' ~ 04° 41',䷡ .3
34.4,사수 04° 41' ~ 05° 37',䷡ .4
34.5,사수 05° 37' ~ 06° 33',䷡ .5
34.6,사수 06° 33' ~ 07° 30',䷡ .6
9.1,사수 07° 30' ~ 08° 26',䷈ .1
9.2,사수 08° 26' ~ 09° 22',䷈ .2
9.3,사수 09° 22' ~ 10° 18',䷈ .3
9.4,사수 10° 18' ~ 11° 15',䷈ .4
9.5,사수 11° 15' ~ 12° 11',䷈ .5
9.6,사수 12° 11' ~ 13° 07',䷈ .6
5.1,사수 13° 07' ~ 14° 03',䷄ .1
5.2,사수 14° 03' ~ 15° 00',䷄ .2
5.3,사수 15° 00' ~ 15° 56',䷄ .3
5.4,사수 15° 56' ~ 16° 52',䷄ .4
5.5,사수 16° 52' ~ 17° 48',䷄ .5
5.6,사수 17° 48' ~ 18° 45',䷄ .6
26.1,사수 18° 45' ~ 19° 41',䷙ .1
26.2,사수 19° 41' ~ 20° 37',䷙ .2
26.3,사수 20° 37' ~ 21° 33',䷙ .3
26.4,사수 21° 33' ~ 22° 30',䷙ .4
26.5,사수 22° 30' ~ 23° 26',䷙ .5
26.6,사수 23° 26' ~ 24° 22',䷙ .6
11.1,사수 24° 22' ~ 25° 18',䷊ .1
11.2,사수 25° 18' ~ 26° 15',䷊ .2
11.3,사수 26° 15' ~ 27° 11',䷊ .3
11.4,사수 27° 11' ~ 28° 07',䷊ .4
11.5,사수 28° 07' ~ 29° 03',䷊ .5
11.6,사수 29° 03' ~ 30° 00',䷊ .6
10.1,염소 00° 00' ~ 00° 56',䷉ .1
10.2,염소 00° 56' ~ 01° 52',䷉ .2
10.3,염소 01° 52' ~ 02° 48',䷉ .3
10.4,염소 02° 48' ~ 03° 45',䷉ .4
10.5,염소 03° 45' ~ 04° 41',䷉ .5
10.6,염소 04° 41' ~ 05° 37',䷉ .6
58.1,염소 05° 37' ~ 06° 33',䷹ .1
58.2,염소 06° 33' ~ 07° 30',䷹ .2
58.3,염소 07° 30' ~ 08° 26',䷹ .3
58.4,염소 08° 26' ~ 09° 22',䷹ .4
58.5,염소 09° 22' ~ 10° 18',䷹ .5
58.6,염소 10° 18' ~ 11° 15',䷹ .6
38.1,염소 11° 15' ~ 12° 11',䷥ .1
38.2,염소 12° 11' ~ 13° 07',䷥ .2
38.3,염소 13° 07' ~ 14° 03',䷥ .3
38.4,염소 14° 03' ~ 15° 00',䷥ .4
38.5,염소 15° 00' ~ 15° 56',䷥ .5
38.6,염소 15° 56' ~ 16° 52',䷥ .6
54.1,염소 16° 52' ~ 17° 48',䷵ .1
54.2,염소 17° 48' ~ 18° 45',䷵ .2
54.3,염소 18° 45' ~ 19° 41',䷵ .3
54.4,염소 19° 41' ~ 20° 37',䷵ .4
54.5,염소 20° 37' ~ 21° 33',䷵ .5
54.6,염소 21° 33' ~ 22° 30',䷵ .6
61.1,염소 22° 30' ~ 23° 26',䷼ .1
61.2,염소 23° 26' ~ 24° 22',䷼ .2
61.3,염소 24° 22' ~ 25° 18',䷼ .3
61.4,염소 25° 18' ~ 26° 15',䷼ .4
61.5,염소 26° 15' ~ 27° 11',䷼ .5
61.6,염소 27° 11' ~ 28° 07',䷼ .6
60.1,염소 28° 07' ~ 29° 03',䷻ .1
60.2,염소 29° 03' ~ 30° 00',䷻ .2
60.3,물병 00° 00' ~ 00° 56',䷻ .3
60.4,물병 00° 56' ~ 01° 52',䷻ .4
60.5,물병 01° 52' ~ 02° 48',䷻ .5
60.6,물병 02° 48' ~ 03° 45',䷻ .6
41.1,물병 03° 45' ~ 04° 41',䷨ .1
41.2,물병 04° 41' ~ 05° 37',䷨ .2
41.3,물병 05° 37' ~ 06° 33',䷨ .3
41.4,물병 06° 33' ~ 07° 30',䷨ .4
41.5,물병 07° 30' ~ 08° 26',䷨ .5
41.6,물병 08° 26' ~ 09° 22',䷨ .6
19.1,물병 09° 22' ~ 10° 18',䷒ .1
19.2,물병 10° 18' ~ 11° 15',䷒ .2
19.3,물병 11° 15' ~ 12° 11',䷒ .3
19.4,물병 12° 11' ~ 13° 07',䷒ .4
19.5,물병 13° 07' ~ 14° 03',䷒ .5
19.6,물병 14° 03' ~ 15° 00',䷒ .6
13.1,물병 15° 00' ~ 15° 56',䷌ .1
13.2,물병 15° 56' ~ 16° 52',䷌ .2
13.3,물병 16° 52' ~ 17° 48',䷌ .3
13.4,물병 17° 48' ~ 18° 45',䷌ .4
13.5,물병 18° 45' ~ 19° 41',䷌ .5
13.6,물병 19° 41' ~ 20° 37',䷌ .6
49.1,물병 20° 37' ~ 21° 33',䷰ .1
49.2,물병 21° 33' ~ 22° 30',䷰ .2
49.3,물병 22° 30' ~ 23° 26',䷰ .3
49.4,물병 23° 26' ~ 24° 22',䷰ .4
49.5,물병 24° 22' ~ 25° 18',䷰ .5
49.6,물병 25° 18' ~ 26° 15',䷰ .6
30.1,물병 26° 15' ~ 27° 11',䷝ .1
30.2,물병 27° 11' ~ 28° 08',䷝ .2
30.3,물병 28° 08' ~ 29° 05',䷝ .3
30.4,물병 29° 05' ~ 30° 02',䷝ .4
30.5,물병 30° 02' ~ 물고기 00° 58',䷝ .5
30.6,물고기 00° 58' ~ 01° 55',䷝ .6
55.1,물고기 01° 55' ~ 02° 52',䷶ .1
55.2,물고기 02° 52' ~ 03° 48',䷶ .2
55.3,물고기 03° 48' ~ 04° 45',䷶ .3
55.4,물고기 04° 45' ~ 05° 41',䷶ .4
55.5,물고기 05° 41' ~ 06° 38',䷶ .5
55.6,물고기 06° 38' ~ 07° 35',䷶ .6
37.1,물고기 07° 35' ~ 08° 32',䷤ .1
37.2,물고기 08° 32' ~ 09° 28',䷤ .2
37.3,물고기 09° 28' ~ 10° 25',䷤ .3
37.4,물고기 10° 25' ~ 11° 21',䷤ .4
37.5,물고기 11° 21' ~ 12° 18',䷤ .5
37.6,물고기 12° 18' ~ 13° 15',䷤ .6
63.1,물고기 13° 15' ~ 14° 11',䷾ .1
63.2,물고기 14° 11' ~ 15° 08',䷾ .2
63.3,물고기 15° 08' ~ 16° 05',䷾ .3
63.4,물고기 16° 05' ~ 17° 01',䷾ .4
63.5,물고기 17° 01' ~ 17° 58',䷾ .5
63.6,물고기 17° 58' ~ 18° 55',䷾ .6
22.1,물고기 18° 55' ~ 19° 51',䷕ .1
22.2,물고기 19° 51' ~ 20° 48',䷕ .2
22.3,물고기 20° 48' ~ 21° 44',䷕ .3
22.4,물고기 21° 44' ~ 22° 41',䷕ .4
22.5,물고기 22° 41' ~ 23° 37',䷕ .5
22.6,물고기 23° 37' ~ 24° 33',䷕ .6
36.1,물고기 24° 33' ~ 25° 27',䷣ .1
36.2,물고기 25° 27' ~ 26° 22',䷣ .2
36.3,물고기 26° 22' ~ 27° 16',䷣ .3
36.4,물고기 27° 16' ~ 28° 11',䷣ .4
36.5,물고기 28° 11' ~ 29° 05',䷣ .5
36.6,물고기 29° 05' ~ 30° 00',䷣ .6
